"11/15 19:00後不能再修改
原版：https://docs.google.com/spreadsheets/d/1zGhws1FXIhIkVb8hHpmfGelUcfDuwiUwucsZ69IIJRc/edit?usp=sharing",,,,,,,
填寫日期,團隊名稱,團隊小標,介紹大標,介紹內文,團隊介紹連結,影音簡介連結,SDGs項目編號
11/13,粨種人食品,第五期團隊,透過品嚐阿粨推廣原民文化與美食,粨種人食品致力於原住民美食推廣，透過聘僱部落媽媽手作阿粨及每一種部落傳統美食，讓更多人認識部落故事與在地台灣味，每一位部落媽媽都是我們的「霹靂嬌娃」，也是粨種人食品最佳的代言人。,https://si.taiwan.gov.tw/Home/Org?Fid=283,,1、5、8
11/13,毛小愛 Fluv,第五期團隊,為現代毛爸媽打造出的寵物保姆平台APP,毛小愛 Fluv 是一個為現代毛爸媽打造出的寵物保姆平台APP，使用美國寵物保姆訓練課程和AI數據媒合寵物保姆，所有保姆、美容師、遛狗師等皆有通過「真心愛動物審核」，確保毛小孩會像家人般被對待—一對一、不關籠、全程拍照。為了貫徹我們「愛」的理念，毛小愛同時協助訓練弱勢中年婦女成為寵物保姆找到再次工作機會和與動物救援機構合作，使用部分營收中途浪浪和協助送養！,https://si.taiwan.gov.tw/Home/Org?Fid=672,,1、8、10
11/13,虎臂智能機器人,第五期團隊,提供生活化實用化的機器手臂教育課程開發,本團隊虎臂機器人著力於提供生活化實用化的機器手臂教育課程開發，提供台灣甚至全球學生以線上(5G)也能學習遠端控制機器手臂學習，不受限區域環境也能學習最新科技創造更好生活。並從科技學習中有能力創造工作機會有效消弭貧窮。,https://si.taiwan.gov.tw/Home/Org?Fid=681,,4、9
11/13,CLÉ 從心出發的永續時尚提案,第五期團隊,提供給大眾滿足時尚需求的永續皮革包包,CLÉ在法文裡是鑰匙的意思，希望能開啟一道通往更美好世界的門。為了減緩時尚業所造成的負面影響，我們以萬物皆取自於地球的角度，以盡可能減低對環境的影響而不犧牲美感為目標，提供大眾高品質且對地球友善的永續皮革包包。,https://si.taiwan.gov.tw/Home/Org?Fid=682,,12、13、17
11/13,天馬行空城堡有限公司,第五期團隊,1.親子體驗式活動 2.女性培力課程 3.女性文創商品開發,"天馬行空城堡有限公司一路走來，歷經場域(實體)第一線協助重返職場婦女就業或者情感支持。同時結合其他共益團體—新住民人權發展協會、女性創業發展協會等，做更有效的資源串接。
順應當代知識經濟或文化創意等潮流，提升婦女單位工作力的經濟價值。同時符合SDGs聯合國永續發展目標—優質教育、性別平權、良好工作。往更好的方向邁進。並發揮女性特質—溫柔與療癒的領導力，與女性產業結合，做職業培訓或進行文創產品設計開發，並進行販售。",https://si.taiwan.gov.tw/Home/Org?Fid=651,,4、5、8
11/13,CircuPlus 創業生態系社群,第五期團隊,"1.奉茶APP：輕鬆找到免費飲用水
2.永續電商：永續選物平台","CircuPlus相信「經濟成長與環境生態能共同永續發展」
邁向資源脫鉤的『循環經濟』發展模式，需要系統合作，建構循環經濟創業生態系社群，透過資通訊科技的跨界交乘，推動生產者「產品服務化」，消費者已使用代替擁有的文化。
2020年，從倡議到行動，推出「奉茶行動：永續喝水服務」至今已有17萬人次參與",https://si.taiwan.gov.tw/Home/Org?Fid=389,,6、12、17
11/13,社團法人台灣手語翻譯協會,第五期團隊,手語翻譯、教學、表演、影片、導覽、親子手語,成立「手語翻譯協會」的目標是要使台灣手語翻譯人員成為一個「精進自我 服務聾人」的手語翻譯專業團體，成為聽語障人士與聽人溝通的橋樑，並促進台灣手語翻譯專業發展、建立手語翻譯服務準則、健全手語翻譯制度、培訓優質手語翻譯人才、推展手語翻譯學術研究，以全面提升手語翻譯品質與量，維護聽語障人士知的權利與應有福利，打造有愛無礙的環境。,https://si.taiwan.gov.tw/Home/Org?Fid=674,,4 、10、 16
11/13,中華 HMT 你好明天青年實踐協會,第五期團隊,透過培力和陪伴，創造原民兒少多元發展的教育支持組織,我們透過舉辦寒暑期營隊、每月定期回訪部落、攜手孩子舉辦大型社區活動等方式，培養孩子的軟實力也同時拓展學童視野，希望透過孩子自己的力量，去帶給家庭與社區全新的樣貌，同時，也建立起更多實作的能力。,https://si.taiwan.gov.tw/Home/Org?Fid=668,,4 、10、11
11/13,Skyline 國際機會平台,第五期團隊,"1. 國際交流資訊匯流平台
2. 青年職前與職場教育訓練",為台灣第一個國際交流及人才發展的資訊整合平台，致力消除各項國際活動訊息不流通的問題，利用多元的平台讓青年即時獲取資訊。從學生時期的探索自我、交流參與，到職涯機會及經驗傳承，同時有效媒合機會與人才成為台灣新世代往全球發展的加速器，讓更多青年與學生具備國際視野與永續觀點。,https://si.taiwan.gov.tw/Home/Org?Fid=667,,4 、8 、11
11/13,EARTH FRIEND/何烈磐石科技股份有限公司,第五期團隊,「以發現代替發明」，商品順應自然而生,"以循環經濟的理念，將台灣的廢棄貝殼製成全成份符合食品添加物規格的「漂布之人」，
是撿廢也減廢的天然環保高效殺菌消毒粉商品，可運用在生活上食衣住行的各方面。
藉此，2020年也成功開發出添加植物配比的100%無塑膠農作物隱形包材，以降低全球農產品運輸時的腐壞與塑膠垃圾。",https://si.taiwan.gov.tw/Home/Org?Fid=560,,2 、12 、14
11/13,袋代設計有限公司,第五期團隊,袋代提供六系列的共享版型或教案，並可開設工作坊。,袋代是以永續設計及永續教育為己任之社會企業。透過設計共享版型並於網路公開免費下載使用，並附教學檔提供民眾自行學習使用，同時也將工業生產端之廢棄邊角料帶到校園中，讓學生親手做出生活中可以使用的包袋。,https://si.taiwan.gov.tw/Home/Org?Fid=676,,4 、8 、12
11/13,雞湯來了,第五期團隊,用知識與練習，陪伴家庭烹煮關係的雞湯,"⼈和人之間的關係就像雞湯
需要細火慢燉才能滋補暖⾝地恰到好處。

因此我們透過
科普文章｜具研究基礎的家庭新知
實體活動｜親子工作坊、家長團體
互動策展｜學習者視角出發的體驗

幫助家庭成員理解「家庭之所以如此」的脈絡，實際透過練習，增進家人關係。",https://si.taiwan.gov.tw/Home/Org?Fid=630,,4 、5 、17
11/13,彤鳥社會企業有限公司,第五期團隊,將感官與直覺元素，轉換化同理溝通課程及展覽,彤鳥看見每個人都不一樣，也希望每個人都能被同理和賞識，運用設計思考將觸覺、嗅覺、聽覺及直覺等感官元素，轉換成同理、溝通課程或展覽，發展出有感溝通術、Fun大直覺力、用聽的風景等課程。,https://si.taiwan.gov.tw/Home/Org?Fid=463,,4 、10 、17
